"Date","Price","Open","High","Low","Change %"
"01/11/2024","4.403","4.292","4.510","4.131","2.78%"
"01/10/2024","4.284","3.779","4.339","3.696","13.14%"
"01/09/2024","3.787","3.928","3.932","3.599","-3.14%"
"01/08/2024","3.909","4.056","4.066","3.667","-3.08%"
"01/07/2024","4.033","4.412","4.493","4.031","-8.17%"
"01/06/2024","4.392","4.493","4.501","4.188","-2.45%"
"01/05/2024","4.503","4.682","4.694","4.313","-3.83%"
"01/04/2024","4.682","4.190","4.739","4.188","11.31%"
"01/03/2024","4.206","4.254","4.348","4.038","-1.13%"
"01/02/2024","4.254","3.931","4.354","3.816","8.58%"
"01/01/2024","3.918","3.899","4.198","3.881","1.35%"
"01/12/2023","3.866","4.321","4.349","3.783","-10.72%"
"01/11/2023","4.330","4.926","4.935","4.247","-12.10%"
"01/10/2023","4.926","4.614","5.021","4.530","7.58%"
"01/09/2023","4.579","4.114","4.688","4.060","11.52%"
"01/08/2023","4.106","3.965","4.366","3.949","3.51%"
"01/07/2023","3.967","3.845","4.094","3.727","3.29%"
"01/06/2023","3.841","3.639","3.892","3.570","5.33%"
"01/05/2023","3.646","3.450","3.859","3.296","6.21%"
"01/04/2023","3.433","3.524","3.639","3.253","-1.15%"
"01/03/2023","3.473","3.938","4.091","3.285","-11.57%"
"01/02/2023","3.928","3.516","3.983","3.333","11.89%"
"01/01/2023","3.510","3.848","3.848","3.321","-9.49%"
"01/12/2022","3.879","3.620","3.905","3.402","7.41%"
"01/11/2022","3.611","4.058","4.243","3.600","-10.84%"
"01/10/2022","4.050","3.813","4.338","3.562","5.78%"
"01/09/2022","3.829","3.198","4.019","3.174","19.78%"
"01/08/2022","3.196","2.669","3.198","2.516","20.27%"
"01/07/2022","2.658","3.024","3.103","2.618","-11.90%"
"01/06/2022","3.017","2.864","3.498","2.833","5.86%"
"01/05/2022","2.849","2.932","3.203","2.706","-3.00%"
"01/04/2022","2.938","2.352","2.981","2.352","25.26%"
"01/03/2022","2.345","1.840","2.557","1.668","28.74%"
"01/02/2022","1.822","1.787","2.065","1.739","2.12%"
"01/01/2022","1.784","1.531","1.902","1.529","17.99%"
"01/12/2021","1.512","1.477","1.560","1.335","3.82%"
"01/11/2021","1.456","1.575","1.693","1.412","-6.71%"
"01/10/2021","1.561","1.501","1.705","1.453","4.58%"
"01/09/2021","1.492","1.317","1.567","1.260","14.18%"
"01/08/2021","1.307","1.237","1.379","1.127","6.65%"
"01/07/2021","1.226","1.470","1.485","1.128","-16.51%"
"01/06/2021","1.468","1.608","1.639","1.354","-7.13%"
"01/05/2021","1.581","1.631","1.707","1.469","-2.78%"
"01/04/2021","1.626","1.737","1.753","1.528","-6.77%"
"01/03/2021","1.744","1.395","1.776","1.383","23.99%"
"01/02/2021","1.407","1.071","1.614","1.060","31.38%"
"01/01/2021","1.071","0.930","1.187","0.906","16.81%"
"01/12/2020","0.916","0.847","0.986","0.834","8.82%"
"01/11/2020","0.842","0.855","0.975","0.718","-3.61%"
"01/10/2020","0.874","0.689","0.877","0.653","27.42%"
"01/09/2020","0.686","0.713","0.731","0.604","-2.93%"
"01/08/2020","0.706","0.535","0.789","0.504","32.51%"
"01/07/2020","0.533","0.658","0.724","0.520","-18.94%"
"01/06/2020","0.658","0.640","0.959","0.618","0.78%"
"01/05/2020","0.653","0.630","0.745","0.590","1.08%"
"01/04/2020","0.646","0.663","0.785","0.543","-3.34%"
"01/03/2020","0.668","1.105","1.283","0.318","-42.59%"
"01/02/2020","1.163","1.514","1.684","1.116","-22.71%"
"01/01/2020","1.505","1.919","1.946","1.503","-21.58%"
"01/12/2019","1.919","1.796","1.952","1.693","8.18%"
"01/11/2019","1.774","1.689","1.973","1.670","5.13%"
"01/10/2019","1.688","1.670","1.860","1.505","1.17%"
"01/09/2019","1.668","1.508","1.908","1.429","11.24%"
"01/08/2019","1.499","2.025","2.061","1.443","-25.31%"
"01/07/2019","2.007","2.045","2.150","1.939","0.03%"
"01/06/2019","2.007","2.126","2.178","1.974","-5.93%"
