"Date","Price","Open","High","Low","Change %"
"01/11/2024","3.361","3.145","3.403","3.133","5.26%"
"01/10/2024","3.193","2.785","3.227","2.785","13.23%"
"01/09/2024","2.820","2.953","2.998","2.654","-4.50%"
"01/08/2024","2.953","3.173","3.173","2.842","-6.93%"
"01/07/2024","3.173","3.582","3.673","3.167","-11.42%"
"01/06/2024","3.582","3.815","3.828","3.513","-8.06%"
"01/05/2024","3.896","4.035","4.045","3.740","-3.44%"
"01/04/2024","4.035","3.756","4.036","3.756","7.43%"
"01/03/2024","3.756","3.855","3.888","3.673","-2.57%"
"01/02/2024","3.855","3.502","3.875","3.435","7.71%"
"01/01/2024","3.579","3.272","3.658","3.272","9.38%"
"01/12/2023","3.272","3.826","3.826","3.265","-13.28%"
"01/11/2023","3.773","4.380","4.443","3.738","-13.86%"
"01/10/2023","4.380","4.217","4.511","4.152","3.87%"
"01/09/2023","4.217","3.853","4.335","3.853","9.45%"
"01/08/2023","3.853","3.914","4.140","3.853","-1.56%"
"01/07/2023","3.914","3.739","3.937","3.669","4.68%"
"01/06/2023","3.739","3.522","3.739","3.474","6.16%"
"01/05/2023","3.522","3.198","3.643","3.090","11.95%"
"01/04/2023","3.146","3.183","3.184","2.860","-1.47%"
"01/03/2023","3.193","3.903","3.984","2.936","-18.19%"
"01/02/2023","3.903","3.184","3.921","3.081","22.58%"
"01/01/2023","3.184","3.708","3.708","2.970","-14.13%"
"01/12/2022","3.708","3.618","3.708","3.296","2.49%"
"01/11/2022","3.618","3.994","4.111","3.547","-9.41%"
"01/10/2022","3.994","3.694","4.263","3.521","10.39%"
"01/09/2022","3.618","3.090","3.814","3.090","17.09%"
"01/08/2022","3.090","2.560","3.096","2.438","17.45%"
"01/07/2022","2.631","2.839","3.203","2.631","-13.11%"
"01/06/2022","3.028","2.748","3.436","2.748","10.19%"
"01/05/2022","2.748","2.764","3.085","2.663","-0.58%"
"01/04/2022","2.764","2.090","2.943","2.090","32.25%"
"01/03/2022","2.090","1.810","2.336","1.637","14.52%"
"01/02/2022","1.825","1.649","1.853","1.649","10.67%"
"01/01/2022","1.649","1.407","1.776","1.407","14.12%"
"01/12/2021","1.445","1.481","1.520","1.269","-2.43%"
"01/11/2021","1.481","1.479","1.592","1.390","0.14%"
"01/10/2021","1.479","1.235","1.536","1.235","14.65%"
"01/09/2021","1.290","1.013","1.291","1.013","27.34%"
"01/08/2021","1.013","0.940","1.132","0.889","7.88%"
"01/07/2021","0.939","1.207","1.213","0.895","-22.20%"
"01/06/2021","1.207","1.184","1.299","1.143","1.94%"
"01/05/2021","1.184","1.260","1.260","1.162","-6.03%"
"01/04/2021","1.260","1.435","1.454","1.173","-12.20%"
"01/03/2021","1.435","1.309","1.466","1.309","7.41%"
"01/02/2021","1.336","0.821","1.336","0.821","62.73%"
"01/01/2021","0.821","0.779","0.862","0.730","5.39%"
"01/12/2020","0.779","0.673","0.782","0.658","15.75%"
"01/11/2020","0.673","0.583","0.715","0.533","15.44%"
"01/10/2020","0.583","0.472","0.594","0.472","23.52%"
"01/09/2020","0.472","0.578","0.595","0.462","-18.34%"
"01/08/2020","0.578","0.416","0.598","0.413","38.94%"
"01/07/2020","0.416","0.651","0.699","0.409","-36.10%"
"01/06/2020","0.651","0.678","0.741","0.539","-3.98%"
"01/05/2020","0.678","0.604","0.749","0.547","12.25%"
"01/04/2020","0.604","0.750","0.886","0.604","-19.47%"
"01/03/2020","0.750","1.054","1.356","0.724","-28.84%"
"01/02/2020","1.054","1.400","1.493","1.054","-24.71%"
"01/01/2020","1.400","1.822","1.823","1.400","-23.16%"
"01/12/2019","1.822","1.527","1.826","1.527","19.32%"
"01/11/2019","1.527","1.541","1.725","1.500","-0.91%"
"01/10/2019","1.541","1.241","1.564","1.147","24.17%"
"01/09/2019","1.241","1.130","1.348","1.043","9.82%"
"01/08/2019","1.130","1.637","1.648","1.039","-30.97%"
"01/07/2019","1.637","1.684","1.709","1.559","-2.79%"
"01/06/2019","1.684","1.590","1.764","1.509","5.91%"
