"Date","Price","Open","High","Low","Change %"
"01/04/2018","2.785","2.618","2.897","2.557","7.82%"
"01/03/2018","2.583","2.775","2.848","2.582","-7.25%"
"01/02/2018","2.785","2.819","2.934","2.704","-0.54%"
"01/01/2018","2.800","2.648","2.898","2.594","5.14%"
"01/12/2017","2.663","2.552","2.733","2.488","6.10%"
"01/11/2017","2.510","2.706","2.718","2.476","-6.38%"
"01/10/2017","2.681","2.850","2.902","2.680","-5.67%"
"01/09/2017","2.842","2.693","2.901","2.562","4.33%"
"01/08/2017","2.724","2.712","2.754","2.574","1.08%"
"01/07/2017","2.695","2.655","2.794","2.557","3.53%"
"01/06/2017","2.603","2.409","2.608","2.332","8.68%"
"01/05/2017","2.395","2.579","2.722","2.381","-7.39%"
"01/04/2017","2.586","2.743","2.743","2.448","-4.89%"
"01/03/2017","2.719","2.730","2.988","2.694","-0.84%"
"01/02/2017","2.742","2.716","2.840","2.642","0.40%"
"01/01/2017","2.731","2.782","2.821","2.662","-1.51%"
"01/12/2016","2.773","2.786","2.945","2.727","1.20%"
"01/11/2016","2.740","2.355","2.827","2.243","16.00%"
"01/10/2016","2.362","2.014","2.402","1.957","19.78%"
"01/09/2016","1.972","1.892","2.220","1.886","4.06%"
"01/08/2016","1.895","1.863","2.000","1.820","1.28%"
"01/07/2016","1.871","1.994","2.050","1.842","-6.78%"
"01/06/2016","2.007","2.301","2.351","1.960","-12.85%"
"01/05/2016","2.303","2.533","2.590","2.214","-8.65%"
"01/04/2016","2.521","2.504","2.712","2.394","1.29%"
"01/03/2016","2.489","2.383","2.710","2.323","3.75%"
"01/02/2016","2.399","2.641","2.674","2.349","-10.15%"
"01/01/2016","2.670","2.891","2.906","2.618","-7.58%"
"01/12/2015","2.889","2.862","2.989","2.727","1.19%"
"01/11/2015","2.855","2.615","2.982","2.615","8.43%"
"01/10/2015","2.633","2.599","2.733","2.498","1.27%"
"01/09/2015","2.600","2.697","2.865","2.578","-3.17%"
"01/08/2015","2.685","2.776","2.876","2.486","-2.89%"
"01/07/2015","2.765","3.055","3.119","2.687","-7.53%"
"01/06/2015","2.990","2.741","3.173","2.701","9.20%"
"01/05/2015","2.738","2.624","3.041","2.624","2.85%"
"01/04/2015","2.662","2.323","2.713","2.236","14.20%"
"01/03/2015","2.331","2.515","2.792","2.322","-6.20%"
"01/02/2015","2.485","2.429","2.674","2.381","0.44%"
"01/01/2015","2.474","2.819","2.882","2.468","-12.58%"
