"Date","Price","Open","High","Low","Change %"
"01/11/2024","2.099","2.141","2.144","2.088","-2.14%"
"01/10/2024","2.145","2.148","2.196","2.080","-0.69%"
"01/09/2024","2.160","2.270","2.270","2.025","-1.05%"
"01/08/2024","2.183","2.211","2.275","2.099","1.63%"
"01/07/2024","2.148","2.303","2.370","2.126","-2.72%"
"01/06/2024","2.208","2.347","2.410","2.200","-4.83%"
"01/05/2024","2.320","2.442","2.442","2.227","0.48%"
"01/04/2024","2.309","2.400","2.435","2.205","0.35%"
"01/03/2024","2.301","2.363","2.427","2.237","-2.62%"
"01/02/2024","2.363","2.473","2.539","2.341","-2.96%"
"01/01/2024","2.435","2.695","2.695","2.418","-5.58%"
"01/12/2023","2.579","2.719","2.734","2.565","-3.98%"
"01/11/2023","2.686","2.706","2.805","2.645","-0.85%"
"01/10/2023","2.709","2.740","2.767","2.686","-0.22%"
"01/09/2023","2.715","2.594","2.741","2.594","4.87%"
"01/08/2023","2.589","2.811","2.811","2.533","-4.00%"
"01/07/2023","2.697","2.700","2.810","2.636","0.52%"
"01/06/2023","2.683","2.785","2.820","2.622","-1.14%"
"01/05/2023","2.714","2.878","2.878","2.693","-2.55%"
"01/04/2023","2.785","2.913","2.958","2.775","-2.66%"
"01/03/2023","2.861","2.918","2.990","2.850","-1.79%"
"01/02/2023","2.913","2.966","3.020","2.889","-0.51%"
"01/01/2023","2.928","2.947","3.060","2.856","1.53%"
"01/12/2022","2.884","2.932","3.025","2.858","-1.33%"
"01/11/2022","2.923","2.670","2.943","2.650","10.30%"
"01/10/2022","2.650","2.865","2.865","2.636","-4.74%"
"01/09/2022","2.782","2.661","2.800","2.623","5.02%"
"01/08/2022","2.649","2.805","2.805","2.615","-3.99%"
"01/07/2022","2.759","2.853","2.905","2.755","-2.30%"
"01/06/2022","2.824","2.825","2.880","2.776","0.75%"
"01/05/2022","2.803","2.928","2.928","2.742","-1.34%"
"01/04/2022","2.841","2.854","2.922","2.783","0.85%"
"01/03/2022","2.817","2.854","2.935","2.761","0.93%"
"01/02/2022","2.791","2.800","2.887","2.712","1.53%"
"01/01/2022","2.749","2.850","2.890","2.660","-1.22%"
"01/12/2021","2.783","2.903","2.940","2.771","-2.93%"
"01/11/2021","2.867","3.030","3.050","2.848","-3.66%"
"01/10/2021","2.976","3.000","3.108","2.885","3.55%"
"01/09/2021","2.874","2.930","3.000","2.823","0.60%"
"01/08/2021","2.857","2.970","2.980","2.803","0.42%"
"01/07/2021","2.845","3.107","3.210","2.843","-7.72%"
"01/06/2021","3.083","3.112","3.230","3.068","0.19%"
"01/05/2021","3.077","3.208","3.260","3.063","-3.12%"
"01/04/2021","3.176","3.227","3.320","3.145","-0.78%"
"01/03/2021","3.201","3.325","3.360","3.196","-2.68%"
"01/02/2021","3.289","3.250","3.385","3.177","1.92%"
"01/01/2021","3.227","3.278","3.278","3.123","0.75%"
"01/12/2020","3.203","3.369","3.401","3.174","-2.35%"
"01/11/2020","3.280","3.190","3.418","3.166","2.76%"
"01/10/2020","3.192","3.294","3.300","3.161","1.17%"
"01/09/2020","3.155","3.055","3.250","3.038","3.34%"
"01/08/2020","3.053","3.035","3.135","2.940","2.69%"
"01/07/2020","2.973","2.900","3.200","2.870","2.69%"
"01/06/2020","2.895","2.738","3.010","2.703","6.94%"
"01/05/2020","2.707","2.545","2.753","2.540","7.85%"
"01/04/2020","2.510","2.660","2.682","2.490","-5.75%"
"01/03/2020","2.663","2.750","2.865","2.578","-4.82%"
"01/02/2020","2.798","2.850","2.955","2.798","-8.26%"
"01/01/2020","3.050","3.175","3.215","3.015","-3.88%"
"01/12/2019","3.173","3.215","3.287","3.140","-0.60%"
"01/11/2019","3.192","3.343","3.343","3.163","-2.71%"
"01/10/2019","3.281","3.190","3.378","3.115","3.99%"
"01/09/2019","3.155","3.080","3.215","3.015","2.84%"
"01/08/2019","3.068","3.192","3.194","3.015","-3.61%"
"01/07/2019","3.183","3.315","3.315","3.140","-2.93%"
"01/06/2019","3.279","3.320","3.324","3.243","-0.55%"
