Ticker,Name,Market Cap,Sector,Industry
AAP.AX,AUSAGRIPRO FPO [AAP],15849973,Consumer Defensive,Farm Products
AAR.AX,ASTRAL FPO [AAR],180258208,Basic Materials,Gold
AAU.AX,ANTILLES FPO [AAU],5573640,Basic Materials,Gold
ABA.AX,AUSWIDE FPO [ABA],247089344,Financial Services,Banks - Regional
ABB.AX,AUSSIEBAND FPO [ABB],1040944960,Communication Services,Telecom Services
ABE.AX,AUBONDEXCH FPO [ABE],2277260,Financial Services,Capital Markets
ABG.AX,ABACUS STAPLED [ABG],1009833536,Real Estate,REIT - Diversified
ABV.AX,ADV BRAKE FPO [ABV],31939562,Consumer Cyclical,Auto Parts
ABX.AX,ABXGROUP FPO [ABX],8509962,Basic Materials,Aluminum
ABY.AX,ADOREBEAUT FPO [ABY],84562112,Consumer Cyclical,Specialty Retail
ACE.AX,ACUSENSUS FPO [ACE],149002032,Technology,Software - Infrastructure
ACF.AX,ACROW FPO [ACF],327003808,Industrials,Engineering & Construction
ACL.AX,AUCLINICAL FPO [ACL],708033280,Healthcare,Diagnostics & Research
ACM.AX,AUSCRITMIN FPO [ACM],3917817,Basic Materials,Other Precious Metals & Mining
ACP.AX,AUDALIA FPO [ACP],16634856,Basic Materials,Other Industrial Metals & Mining
ACQ.AX,ACORN CAP FPO [ACQ],73674888,Financial Services,Asset Management
ACR.AX,ACRUX FPO [ACR],13274217,Healthcare,Biotechnology
ACS.AX,ACCENT RES FPO [ACS],2838762,Basic Materials,Other Industrial Metals & Mining
ACU.AX,ACUMENTIS FPO [ACU],18159312,Real Estate,Real Estate Services
ACW.AX,ACTINOGEN FPO [ACW],78320248,Healthcare,Biotechnology
AD1.AX,ADNEO FPO [AD1],7320350,Technology,Information Technology Services
AD8.AX,AUDINATEGL FPO [AD8],586727680,Technology,Electronic Components
ADC.AX,ACDC METAL FPO [ADC],4030130,Basic Materials,Other Industrial Metals & Mining
ADD.AX,ADAVALE FPO [ADD],4622490,Energy,Uranium
ADG.AX,ADL GOLD FPO [ADG],5589950,Basic Materials,Gold
ADH.AX,ADAIRS FPO [ADH],471353056,Consumer Cyclical,Specialty Retail
ADN.AX,ANDROMEDA FPO [ADN],20572380,Basic Materials,Other Industrial Metals & Mining
ADO.AX,ANTEO TECH FPO [ADO],51400696,Healthcare,Biotechnology
ADR.AX,ADHERIUM FPO [ADR],4668160,N/A,N/A
ADS.AX,ADSLOT LTD FPO [ADS],5315860,Technology,Software - Infrastructure
ADT.AX,ADRIATIC CDI 1:1 [ADT],1260345728,Basic Materials,Other Industrial Metals & Mining
ADV.AX,ARDIDEN FPO [ADV],8439863,Basic Materials,Other Industrial Metals & Mining
ADX.AX,ADXENERGY FPO [ADX],15495516,Energy,Oil & Gas E&P
ADY.AX,ADMIRALTY FPO [ADY],15776880,Basic Materials,Other Industrial Metals & Mining
AEE.AX,AURA EN FPO [AEE],127784728,Energy,Uranium
AEF.AX,A ETHICAL FPO [AEF],607931200,Financial Services,Asset Management
AEI.AX,AERIS ENV FPO [AEI],20663580,Industrials,Pollution & Treatment Controls
AEL.AX,AMPLITUDE FPO [AEL],543539008,Energy,Oil & Gas E&P
AER.AX,AEERIS FPO [AER],5339869,Technology,Software - Application
AEV.AX,AVENIRA FPO [AEV],28521268,Basic Materials,Other Industrial Metals & Mining
AFA.AX,ASF GROUP FPO [AFA],3961990,Financial Services,Capital Markets
AFG.AX,AUSTRA FIN FPO [AFG],423753472,Financial Services,Mortgage Finance
AFI.AX,AUS.FOUND. FPO [AFI],9385868288,Financial Services,Asset Management
AFL.AX,AF LEGAL FPO [AFL],12781888,Consumer Cyclical,Personal Services
AFP.AX,AFT PHARM FPO NZX [AFP],280112384,Healthcare,Drug Manufacturers - Specialty & Generic
AGC.AX,AGCLTD FPO [AGC],35923580,Basic Materials,Gold
AGD.AX,AUST GOLD FPO [AGD],20818574,Basic Materials,Other Precious Metals & Mining
AGE.AX,ALLIGATOR FPO [AGE],143323200,Energy,Uranium
AGH.AX,ALTHEA FPO [AGH],13821103,Healthcare,Drug Manufacturers - Specialty & Generic
AGI.AX,AINSWORTH FPO [AGI],250911520,Consumer Cyclical,Gambling
AGL.AX,AGL ENERGY FPO [AGL],7622223360,Utilities,Utilities - Independent Power Producers
AGN.AX,ARGENICA FPO [AGN],81979520,Healthcare,Biotechnology
AGR.AX,AGUIA RES FPO [AGR],43591684,Basic Materials,Other Industrial Metals & Mining
AGY.AX,ARGOSY FPO [AGY],43677600,Basic Materials,Other Industrial Metals & Mining
AHC.AX,AUS HEALTH FPO [AHC],116499512,Healthcare,Medical Instruments & Supplies
AHF.AX,AUSDAIRY FPO [AHF],52032540,Consumer Defensive,Packaged Foods
AHI.AX,"AHI.AX,0P00016H77,0",N/A,N/A,N/A
AHK.AX,ARK MINES FPO [AHK],8871424,Basic Materials,Gold
AHL.AX,ADRAD FPO [AHL],57725204,Industrials,Specialty Industrial Machinery
AHN.AX,ATHENA RES FPO [AHN],6377120,Basic Materials,Other Industrial Metals & Mining
AHX.AX,APIAM FPO [AHX],71183576,Consumer Cyclical,Personal Services
AI1.AX,ADISYNLTD FPO [AI1],46296524,Technology,Information Technology Services
AIA.AX,AUCK AIRPT FPO NZX [AIA],12763875328,Industrials,Airports & Air Services
AII.AX,ALMONTY CDI 1:1 [AII],283748576,Basic Materials,Other Industrial Metals & Mining
AIM.AX,AI MEDIA FPO [AIM],174359680,Communication Services,Entertainment
AIQ.AX,A INV TRST UNITS [AIQ],46068064,Financial Services,Asset Management
AIS.AX,AERISRES FPO [AIS],169451616,Basic Materials,Other Industrial Metals & Mining
AIV.AX,ACTIVEX FPO [AIV],1508521,Basic Materials,Other Industrial Metals & Mining
AIZ.AX,AIR N.Z. FPO NZX [AIZ],1808653184,Industrials,Airlines
AJL.AX,AJ LUCAS FPO [AJL],9630111,Basic Materials,Coking Coal
AJX.AX,ALEXIUM FPO [AJX],20494630,Basic Materials,Specialty Chemicals
AKA.AX,AUREKA FPO [AKA],18438300,Basic Materials,Gold
AKG.AX,ACADEMIES FPO [AKG],15250610,Consumer Defensive,Education & Training Services
AKM.AX,ASPIRE FPO [AKM],131985616,Basic Materials,Coking Coal
AKN.AX,AUKING FPO [AKN],1676260,Basic Materials,Other Industrial Metals & Mining
AKO.AX,AKORA RES FPO [AKO],12385197,Basic Materials,Other Industrial Metals & Mining
AKP.AX,"AKP.AX,0P00006XZV,0",N/A,N/A,N/A
AL3.AX,AML3D FPO [AL3],102145328,Industrials,Metal Fabrication
ALA.AX,AROVELLA FPO [ALA],195987152,Healthcare,Biotechnology
ALB.AX,ALBIONRES FPO [ALB],3181748,Basic Materials,Other Industrial Metals & Mining
ALC.AX,ALCIDION FPO [ALC],83262896,Healthcare,Health Information Services
ALD.AX,AMPOL FPO [ALD],6891694080,Energy,Oil & Gas Refining & Marketing
ALI.AX,ARGO GLOBL FPO [ALI],408887072,Financial Services,Asset Management
ALK.AX,ALKANE FPO [ALK],317909536,Basic Materials,Gold
ALL.AX,ARISTOCRAT FPO [ALL],45098893312,Consumer Cyclical,Gambling
ALM.AX,ALMAMETALS CDI 1:1 [ALM],7931749,Basic Materials,Copper
ALQ.AX,ALS FPO [ALQ],7588277760,Industrials,Consulting Services
ALR.AX,ALTAIR FPO [ALR],12890220,Basic Materials,Other Industrial Metals & Mining
ALV.AX,ALVOMIN FPO [ALV],5857950,Basic Materials,Other Precious Metals & Mining
ALX.AX,ATLSRTERIA FPOSFORUS [ALX],7022017024,Industrials,Infrastructure Operations
ALY.AX,ALCHEMYRES FPO [ALY],7068480,Basic Materials,Gold
AM5.AX,ANTARESMTL FPO [AM5],7642214,Basic Materials,Other Industrial Metals & Mining
AM7.AX,ARCADIALTD CDI 1:1 [AM7],2347660,Basic Materials,Other Industrial Metals & Mining
AMA.AX,AMA GROUP FPO [AMA],272608224,Consumer Cyclical,Auto & Truck Dealerships
AMC.AX,AMCOR PLC CDI 1:1 [AMC],22373863424,Consumer Cyclical,Packaging & Containers
AMH.AX,AMCIL FPO [AMH],375182816,Financial Services,Asset Management
AMI.AX,AURELIA FPO [AMI],304480800,Basic Materials,Other Industrial Metals & Mining
AML.AX,AEON METAL FPO [AML],5482000,Basic Materials,Other Industrial Metals & Mining
AMN.AX,AGRIMIN FPO [AMN],42851624,Basic Materials,Other Industrial Metals & Mining
AMO.AX,AMBERTECH FPO [AMO],13833696,Technology,Electronics & Computer Distribution
AMP.AX,AMP FPO [AMP],4063442688,Financial Services,Financial Conglomerates
AMS.AX,ATOMOS FPO [AMS],9720161,Technology,Consumer Electronics
AMX.AX,AEROMETREX FPO [AMX],28972134,Technology,Software - Application
AN1.AX,ANAGENICS FPO [AN1],3690560,Consumer Defensive,Household & Personal Products
ANG.AX,AUSTIN ENG FPO [ANG],331777600,Industrials,Farm & Heavy Construction Machinery
ANN.AX,ANSELL FPO [ANN],4944616448,Healthcare,Medical Instruments & Supplies
ANO.AX,ADVZINCTEK FPO [ANO],47461848,Basic Materials,Chemicals
ANR.AX,ANATARA LS FPO [ANR],11949504,Healthcare,Biotechnology
